BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
600,60057,2,11,116,2,23,"70000
"
410,41000,1,3,30,0,0,"0
"
502,50200,2,8,81,2,22,"70000
"
502,50200,1,1,15,0,0,"9999999
"
500,50000,2,8,81,2,22,"800
"
421,42100,2,6,64,2,22,"10000
"
502,50200,2,10,101,0,0,"0
"
515,51500,2,10,101,2,22,"1000
"
300,30015,2,10,101,2,22,"30000
"
410,41000,2,7,71,1,13,"50
"
600,60031,2,11,114,2,22,"130000
"
250,25000,2,6,63,2,22,"30500
"
453,45300,1,7,71,1,13,"10000
"
300,30015,2,11,114,1,14,"10400
"
453,45300,1,7,71,2,22,"15000
"
500,50000,2,11,114,2,28,"81500
"
500,50000,2,10,101,2,28,"19200
"
210,21060,2,11,114,2,22,"0
"
453,45300,2,6,63,0,0,"24400
"
453,45300,1,6,64,2,22,"58800
"
210,21070,1,11,115,0,0,"71100
"
210,21030,2,6,65,2,22,"31800
"
210,21030,2,2,22,2,22,"12500
"
260,26058,2,6,64,2,22,"51000
"
200,20000,2,2,26,2,22,"45000
"
465,46520,2,8,81,2,22,"60000
"
453,45300,1,7,71,2,22,"37800
"
210,21040,1,7,71,2,25,"68000
"
515,51500,2,7,71,2,22,"11000
"
500,50040,2,8,81,2,22,"3100
"
501,50100,1,11,114,2,23,"75000
"
517,51700,2,7,71,2,22,"0
"
453,45300,1,1,14,0,0,"9999999
"
453,45300,2,6,65,0,0,"10000
"
456,45600,1,6,61,1,13,"0
"
502,50200,2,6,63,2,22,"46800
"
502,50200,2,6,63,2,22,"30000
"
502,50200,2,10,101,2,29,"50000
"
453,45300,2,6,64,2,22,"50000
"
150,15000,1,10,101,2,25,"44000
"
250,25000,2,11,115,2,22,"120100
"
511,51100,2,5,50,2,22,"12000
"
501,50100,1,0,2,0,0,"9999999
"
453,45300,1,10,101,2,22,"37000
"
465,46500,2,11,114,2,22,"0
"
515,51500,2,8,81,0,0,"3300
"
453,45300,1,10,101,2,22,"40000
"
260,26091,2,7,71,2,22,"24000
"
502,50200,1,1,12,0,0,"9999999
"
502,50200,1,0,1,0,0,"9999999
"
502,50200,1,10,101,2,23,"65000
"
200,20000,2,2,26,2,22,"46000
"
200,20000,2,2,23,2,22,"27000
"
600,60066,2,10,101,2,22,"53000
"
200,20000,1,7,71,2,25,"10000
"
500,50000,2,7,71,2,25,"10100
"
200,20000,1,7,71,2,25,"10000
"
515,51500,2,6,63,2,22,"34100
"
200,20000,1,7,71,2,25,"10000
"
260,26010,2,2,25,0,0,"0
"
200,20000,2,6,64,2,22,"75200
"
600,60066,2,10,101,2,22,"53000
"
300,30040,2,8,81,2,25,"24000
"
600,60015,2,6,63,2,22,"14000
"
515,51500,2,6,65,2,22,"30200
"
200,20000,1,7,71,2,25,"10000
"
600,60066,2,6,63,2,22,"19000
"
515,51500,2,1,16,0,0,"17100
"
515,51500,2,10,101,2,28,"40600
"
515,51500,2,10,101,2,25,"51600
"
515,51500,1,6,65,2,22,"16600
"
500,50000,2,11,114,2,22,"130000
"
500,50000,2,11,114,2,22,"120000
"
150,15000,2,8,81,2,23,"25100
"
453,45300,1,0,2,0,0,"9999999
"
425,42500,2,8,81,0,0,"22100
"
453,45300,2,10,101,0,0,"13700
"
200,20000,2,6,65,2,25,"25400
"
413,41300,1,2,22,0,0,"9999999
"
436,43600,1,1,15,0,0,"9999999
"
600,60023,2,8,81,2,22,"151000
"
402,40200,1,7,71,2,27,"1600
"
465,46500,2,6,63,0,0,"1600
"
465,46500,2,6,63,2,25,"66600
"
453,45300,1,10,101,2,22,"94000
"
300,30025,1,6,63,2,22,"20000
"
150,15000,1,10,101,2,27,"173700
"
515,51500,2,10,101,2,28,"133200
"
515,51500,1,10,101,1,13,"31600
"
453,45300,1,10,101,2,22,"96100
"
515,51500,2,4,40,2,22,"66600
"
515,51500,2,10,101,2,22,"36600
"
515,51500,2,1,15,0,0,"9999999
"
515,51500,1,0,1,0,0,"9999999
"
150,15000,2,8,81,2,28,"55600
"
150,15000,2,7,71,0,0,"36800
"
260,26054,2,8,81,2,22,"65200
"
260,26054,2,10,101,2,22,"64000
"
438,43800,2,11,114,2,28,"48000
"
515,51500,2,7,71,2,22,"27600
"
515,51500,2,10,101,2,28,"51600
"
515,51500,2,6,63,2,22,"109400
"
515,51500,2,10,101,2,25,"31600
"
453,45300,1,8,81,2,22,"75000
"
518,51800,2,7,71,1,14,"120600
"
518,51800,2,7,71,2,22,"51600
"
150,15000,1,11,114,2,23,"77700
"
518,51800,2,8,81,0,0,"50100
"
502,50200,2,6,65,2,25,"75000
"
150,15000,1,6,63,0,0,"1600
"
410,41000,1,3,30,0,0,"0
"
410,41000,1,2,25,0,0,"9999999
"
515,51500,2,8,81,2,23,"65000
"
465,46520,2,6,63,0,0,"7200
"
300,30025,2,10,101,2,25,"22000
"
453,45300,1,10,101,2,22,"538000
"
260,26043,2,4,40,2,23,"56000
"
522,52200,2,10,101,2,28,"43800
"
521,52100,2,8,81,0,0,"32900
"
453,45300,2,6,63,0,0,"18000
"
465,46530,2,6,63,2,22,"85200
"
300,30005,2,6,64,2,22,"10200
"
150,15000,1,7,71,2,28,"33600
"
426,42600,2,11,115,2,25,"65000
"
453,45300,2,10,101,0,0,"17900
"
426,42600,2,10,101,2,25,"32100
"
453,45300,1,3,30,2,27,"1600
"
150,15000,2,8,81,0,0,"1600
"
600,60094,2,6,63,2,22,"1600
"
200,20000,2,10,101,0,0,"37200
"
150,15000,1,11,114,2,23,"71500
"
515,51500,2,11,115,1,13,"3000
"
515,51500,2,6,63,2,29,"34000
"
515,51500,2,6,65,2,22,"30000
"
515,51500,2,6,63,2,22,"1000
"
515,51500,2,6,61,2,22,"2000
"
100,10010,3,8,81,2,22,"25000
"
100,10000,3,2,26,0,0,"9999999
"
100,10000,3,6,63,2,22,"1300
"
100,10010,2,6,63,0,0,"8100
"
100,10010,1,6,63,0,0,"4800
"
452,45213,2,7,71,0,0,"71700
"
150,15000,2,6,63,0,0,"26400
"
425,42500,2,11,114,1,13,"215000
"
200,20000,2,6,63,2,22,"121600
"
150,15000,2,4,40,2,28,"14000
"
515,51500,2,8,81,2,27,"115600
"
434,43400,1,6,65,2,25,"31600
"
453,45300,2,11,114,2,22,"11700
"
453,45300,2,6,63,2,22,"19400
"
453,45300,2,2,23,0,0,"9999999
"
515,51500,2,10,101,2,23,"34000
"
455,45500,2,11,114,0,0,"21800
"
200,20000,1,4,40,2,22,"9600
"
456,45600,2,6,63,2,22,"0
"
500,50010,1,6,65,0,0,"800
"
250,25000,2,2,23,0,0,"10200
"
250,25000,2,2,23,0,0,"10200
"
456,45600,2,6,63,2,22,"0
"
453,45300,2,10,101,0,0,"12350
"
200,20000,2,7,71,0,0,"0
"
400,40000,2,11,114,0,0,"25200
"
456,45600,2,6,61,2,22,"17200
"
250,25000,2,2,23,0,0,"10200
"
456,45600,2,6,63,2,22,"0
"
465,46530,2,11,114,0,0,"0
"
200,20000,2,7,71,2,27,"21000
"
200,20000,1,4,40,2,22,"9600
"
200,20000,1,4,40,2,22,"9600
"
453,45300,2,10,101,0,0,"12350
"
512,51200,2,11,114,2,23,"24000
"
600,60012,2,7,71,2,27,"2000
"
512,51200,2,11,114,2,23,"24000
"
453,45300,2,10,101,0,0,"12350
"
502,50200,1,7,71,0,0,"9500
"
200,20000,2,3,30,0,0,"11300
"
502,50200,2,6,63,2,28,"910
"
512,51200,2,11,114,2,23,"24000
"
453,45300,2,10,101,0,0,"12350
"
520,52000,1,6,65,2,22,"0
"
500,50010,1,6,65,0,0,"800
"
200,20000,1,4,40,2,22,"9600
"
200,20000,2,5,50,0,0,"0
"
200,20000,2,10,101,2,22,"130000
"
200,20000,2,6,64,2,27,"42000
"
521,52100,2,11,114,2,22,"160000
"
521,52100,2,10,101,2,22,"100000
"
200,20000,1,1,17,0,0,"9999999
"
210,21050,2,1,12,2,22,"34300
"
515,51500,1,11,114,2,22,"75800
"
200,20000,1,11,114,2,22,"140000
"
200,20000,2,11,114,2,28,"10000
"
405,40500,2,10,101,1,13,"61000
"
200,20000,2,6,61,0,0,"0
"
200,20000,2,5,50,0,0,"0
"
200,20000,2,6,65,2,22,"0
"
200,20000,2,0,2,0,0,"6800
"
300,30015,2,10,101,2,22,"70000
"
200,20000,2,8,81,2,22,"42200
"
200,20000,2,6,63,0,0,"9000
"
200,20000,2,6,63,0,0,"0
"
512,51200,2,6,65,1,13,"22700
"
210,21060,2,6,63,2,25,"59000
"
410,41000,1,6,63,2,22,"29000
"
500,50000,2,1,15,0,0,"9999999
"
455,45500,2,6,65,0,0,"0
"
150,15000,2,6,61,0,0,"21300
"
200,20000,2,6,61,0,0,"1300
"
200,20000,2,6,64,2,22,"63600
"
200,20000,2,10,101,2,22,"32000
"
200,20000,2,2,25,0,0,"6340
"
434,43400,1,7,71,2,22,"39600
"
453,45300,2,6,63,0,0,"25600
"
600,60031,2,10,101,2,22,"50000
"
600,60031,1,1,16,0,0,"9999999
"
200,20000,2,6,63,1,14,"10600
"
542,54200,1,7,71,2,22,"40000
"
500,50040,2,11,114,2,28,"45000
"
536,53600,2,6,63,2,22,"4800
"
453,45300,2,10,101,0,0,"33000
"
200,20000,2,10,101,0,0,"0
"
200,20000,2,6,65,2,22,"23000
"
200,20000,2,6,65,2,28,"30000
"
150,15000,2,7,71,0,0,"22800
"
200,20000,1,7,71,2,22,"65000
"
200,20000,1,6,65,2,22,"35000
"
465,46530,2,6,63,0,0,"300
"
438,43800,1,7,71,2,25,"168300
"
300,30050,2,6,65,2,25,"45000
"
300,30050,2,6,61,2,22,"5000
"
300,30050,2,6,61,2,22,"17000
"
500,50000,1,3,30,0,0,"0
"
518,51800,2,8,81,1,14,"120000
"
518,51800,2,6,63,1,13,"2500
"
453,45300,1,10,101,2,28,"34000
"
433,43300,1,10,101,2,22,"95000
"
512,51200,2,6,61,0,0,"0
"
150,15000,1,2,26,1,13,"300
"
200,20000,2,6,63,2,22,"70000
"
200,20000,2,7,71,2,22,"5300
"
600,60045,2,11,116,2,22,"70000
"
453,45300,2,7,71,0,0,"5000
"
502,50200,2,11,116,2,22,"120000
"
200,20000,2,10,101,2,25,"7000
"
434,43400,2,6,61,0,0,"15600
"
200,20000,2,10,101,2,27,"58000
"
455,45500,2,11,114,2,22,"130000
"
536,53600,2,6,64,0,0,"0
"
502,50200,2,6,65,2,22,"24000
"
200,20000,2,0,2,2,29,"250
"
200,20000,2,11,115,2,29,"0
"
200,20000,2,10,101,1,14,"40000
"
200,20000,2,2,22,0,0,"24000
"
200,20000,2,7,71,2,22,"16900
"
200,20000,2,0,2,1,13,"18000
"
200,20000,2,6,65,0,0,"22300
"
200,20000,2,6,65,0,0,"78960
"
200,20000,1,8,81,2,22,"34000
"
150,15000,2,10,101,2,22,"65000
"
200,20000,2,7,71,0,0,"17700
"
200,20000,2,6,61,2,22,"24000
"
433,43300,2,6,65,2,23,"50000
"
200,20000,2,6,63,1,14,"43500
"
410,41000,2,10,101,1,14,"137000
"
410,41000,2,11,114,2,28,"41000
"
425,42500,2,6,63,0,0,"53600
"
200,20000,2,2,23,0,0,"16100
"
150,15000,1,10,101,1,13,"46000
"
150,15000,1,6,64,2,22,"48000
"
515,51500,2,11,114,2,25,"52000
"
515,51500,2,7,71,0,0,"0
"
465,46500,2,10,101,1,13,"13000
"
517,51700,2,8,81,0,0,"32600
"
