BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,3,7,71,2,22,"0
"
410,41000,3,7,71,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
454,45400,3,11,114,2,22,"0
"
200,20000,3,1,15,0,0,"0
"
521,52100,3,11,114,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
150,15000,3,6,65,0,0,"0
"
150,15000,3,4,40,0,0,"0
"
465,46530,3,6,65,2,22,"0
"
502,50200,3,6,63,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
521,52100,3,6,63,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
150,15000,3,4,40,0,0,"0
"
150,15000,3,5,50,0,0,"0
"
200,20000,3,1,16,2,22,"0
"
521,52140,3,10,101,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
521,52130,3,2,26,2,22,"0
"
200,20000,3,8,81,0,0,"0
"
518,51800,3,7,71,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,10,101,1,14,"0
"
150,15000,3,6,61,0,0,"0
"
521,52100,3,11,114,2,22,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
500,50000,3,10,101,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,2,25,0,0,"0
"
200,20000,3,6,65,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
521,52100,3,11,114,0,0,"0
"
150,15000,3,6,63,0,0,"0
"
521,52100,3,6,63,0,0,"0
"
200,20000,3,6,61,2,22,"0
"
521,52100,3,10,101,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,8,81,2,22,"0
"
150,15000,3,7,71,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
501,50100,3,8,81,0,0,"0
"
501,50100,3,4,40,0,0,"0
"
210,21060,3,6,63,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
150,15000,3,6,61,0,0,"0
"
150,15000,3,6,61,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
521,52100,3,4,40,0,0,"0
"
521,52100,3,11,114,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
600,60079,3,3,30,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
200,20000,3,7,71,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
